,index,FL_DATE,DEP_DELAY
146,146,2016-05-26,21.7318718381113
147,147,2016-05-27,14.569230769230767
148,148,2016-05-28,5.258620689655173
149,149,2016-05-29,2.0345528455284554
150,150,2016-05-30,5.62962962962963
151,151,2016-05-31,11.010434782608696
152,152,2016-06-01,3.947368421052632
153,153,2016-06-02,14.772435897435898
154,154,2016-06-03,12.347687400318978
155,155,2016-06-04,16.736346516007533
156,156,2016-06-05,18.071544715447157
157,157,2016-06-06,11.065182829888712
158,158,2016-06-07,8.261217948717949
159,159,2016-06-08,12.948387096774194
160,160,2016-06-09,13.958588957055214
161,161,2016-06-10,16.097859327217126
162,162,2016-06-11,19.34683098591549
163,163,2016-06-12,16.1525974025974
164,164,2016-06-13,24.01557632398754
165,165,2016-06-14,14.42457231726283
166,166,2016-06-15,15.215503875968992
