FL_DATE,Test_Set_JFK,Forecast_Arima,Forecast_Expsm
2018-06-01,21.34794520547945,16.420427718937226,10.422157197396496
2018-06-02,7.0359477124183005,15.402668582039267,12.090626248318772
2018-06-03,17.204301075268816,10.814849844811928,11.3188695702879
2018-06-04,2.9388297872340425,14.14814016490607,12.216619203416105
2018-06-05,-2.0798898071625342,9.448877985371485,10.802293764265334
2018-06-06,2.8315217391304346,7.4629410823122555,8.837735944847518
2018-06-07,2.656,8.749640069326354,7.914946581233918
2018-06-08,5.815584415584415,8.475283636946081,7.102760962634146
2018-06-09,9.003030303030304,9.355745360535456,6.903444355362916
2018-06-10,8.071428571428571,10.357202570747045,7.2276545865322825
2018-06-11,6.1566579634464755,10.0361255799532,7.357430298989534
2018-06-12,1.316622691292876,9.374636531653156,7.17299411005753
2018-06-13,15.610079575596817,7.640693543582142,6.272287261401266
2018-06-14,3.9946949602122017,12.327616934154658,7.706709274150901
2018-06-15,6.518421052631579,8.582810546523527,7.138894102318137
2018-06-16,6.979104477611941,9.309700945112146,7.043908133481403
2018-06-17,4.661375661375661,9.419893474407315,7.03398862852922
2018-06-18,16.193633952254643,8.594478103925274,6.670774606802427
2018-06-19,16.377717391304348,12.428842026571296,8.126791695381609
2018-06-20,5.827493261455525,12.752689724481462,9.388357696240993
2018-06-21,14.260526315789473,9.394878873450306,8.843123275768313
2018-06-22,5.7506561679790025,12.186278469495166,9.671692957276225
2018-06-23,7.867069486404834,9.437395643817272,9.071660279626943
2018-06-24,57.23342939481268,10.054741155905992,8.887685260884092
2018-06-25,20.20580474934037,26.89561379515013,16.296078406839918
2018-06-26,15.264,15.690761621750166,16.930692755990393
2018-06-27,7.962962962962963,14.221365034612916,16.662795359812012
2018-06-28,56.868493150684934,11.779225369522607,15.296379809802296
2018-06-29,14.311518324607329,28.226124805393958,21.855717639933573
2018-06-30,5.838150289017341,15.142382885950651,20.603867299766133
2018-07-01,7.870317002881844,12.188444656400927,18.269220837744555
2018-07-02,12.910144927536232,12.523972286118983,16.68002555025192
