FL_DATE,Test_Set_LAX,Forecast_Arima,Forecast_Expsm
2018-06-30,5.866782006920415,8.21488836297815,8.535094838426614
2018-07-01,4.636363636363637,7.682527069104606,7.844100696384224
2018-07-02,3.988853503184713,7.022210946696431,7.011326555585106
2018-07-03,8.032534246575343,6.553379573520935,6.223880058048348
2018-07-04,2.1134751773049647,7.990345431077382,6.695055602004293
2018-07-05,6.327503974562798,5.109606181093182,5.50332728472408
2018-07-06,6.923444976076555,7.1924979212333255,5.718194585629771
2018-07-07,7.019163763066202,6.754089689132325,6.031473187397656
2018-07-08,6.0,6.93789890194161,6.287827262922714
2018-07-09,10.152466367713005,6.470664236380439,6.213146925030287
2018-07-10,8.951367781155016,8.276858106679418,7.234933196759761
2018-07-11,6.435045317220544,7.579578543371264,7.680697654041326
2018-07-12,8.403348554033485,6.916137365151896,7.3572101095626525
