Name,Description,Location,Airport
McDonald's,FastFood,Concourse E,ATL
Mezze Cafe,Grab & Go,Food Court,JFK
Mi Casa Cantina and Restaurant,Restaurant,Gate B23,JFK
Monsieur Marcel Gourmet Market & Bistro,Restaurant,After Security,LAX
Mustard Seed,Restaurant,Concourse D,ATL
Nathan's,Bar,Concourse E,ATL
NATIVE,Restaurant,After Security,LAX
Natural Break,Grab & Go,After Security,LAX
Nature's table,Grab & Go,Concourse E,ATL
New York Deli,Grab & Go,Concourse C,JFK
New York Sports Bar,Restaurant,Concourse B,JFK
New York Sports Grill,Restaurant,Gates 9-10,JFK
O'Neal's Restaurant,Restaurant,Concourse B,JFK
O'Neals,Bar,Concourse B,JFK
One Flew South,Restaurant,Concourse E,ATL
Panda Express,Asian,After Security,LAX
Panda Express,Asian,After Security,LAX
Panda Express,Asian,After Security,LAX
Panda Express,Asian,Concourse E,ATL
Panini Express,Grab & Go,Arrivals Level East,JFK
Panini Express,Grab & Go,Departures Level,JFK
Panini Express,Grab & Go,Departures Level,JFK
Papis Carribbean Cafe,Coffee,Concourse T,ATL
Paschal's,Restaurant,Concourse B,ATL
Peets Coffee & Tea,Coffee,After Security,LAX
Peets Coffee & Tea,Coffee,3,JFK
Peets Coffee & Tea,Coffee,Gate A3,JFK
Peets Coffee & Tea,Coffee,Gate B26,JFK
Pei Wei,Asian,Concourse F,ATL
PF Changs,Asian,After Security,LAX
Philipps Seafood,Restaurant,Concourse D,ATL
Pick Up Stix,Bar,After Security,LAX
Piece of Cake,Grab & Go,Concourse A,ATL
Pinkberry,Grab & Go,Before Security,LAX
Pinkberry,Grab & Go,Concourse A,ATL
Piquillo (Temporarily Closed),Restaurant,Marketplace,JFK
Pizza Pub,Pizza,Departures Level,JFK
Pizza Pub,Pizza,Post Security,JFK
Pizza Vino,Pizza,Gate B28,JFK
Planet Hollywood,FastFood,Before Security,LAX
Playa Cafe,Coffee,After Security,LAX
Playa Vista Coffee LAX,Coffee,After Security,LAX
Point the Way Cafe,Coffee,After Security,LAX
Popeyes,FastFood,Domestic Terminal,ATL
Popeyes,FastFood,Concourse B,ATL
Popeyes,FastFood,Concourse D,ATL
Pret A Manger,Grab & Go,After Security,LAX
Proof of the pudding,Coffee,Concourse B,ATL
Purple leaf Cafe,Coffee,Concourse B,ATL
Qdoba,Restaurant,Concourse A,ATL
Qdoba,Restaurant,Concourse E,ATL
Re:Vive Bars,Restaurant,Gate 18,JFK
Re:Vive Bars,Restaurant,Gate 6,JFK
Re:Vive Bars,Restaurant,Gates 14-15,JFK
Re:Vive Bars,Restaurant,Gates 24-25,JFK
Re:Vive Bars,Restaurant,Outside Food Hall,JFK
Reilly s Irish Pub,Bar,After Security,LAX
Revolucion,Restaurant,Gates 11-12,JFK
Roast Coffee House,Coffee,Concourse B,ATL
Rock & Brews Concert Bar & Grill,Bar,After Security,LAX
Rock & Brews Concert Bar & Grill,Bar,After Security,LAX
Rolling Stone Bar & Grill,Bar,After Security,LAX
Saladworks,Grab & Go,Concourse C,ATL
Sammy's Woodfired Pizza,Pizza,After Security,LAX
Samuel Adams,Bar,Concourse B,ATL
Santa Monica Brew Works,Bar,After Security,LAX
Santouka Ramen,Asian,After Security,LAX
Savannah's Candy,Grab & Go,Concourse A,ATL
Savannah's Candy,Grab & Go,Concourse B,ATL
Savannah's Candy,Grab & Go,Concourse C,ATL
Savi Provisions,Coffee,Concourse B,ATL
Sbarro,Pizza,Concourse C,ATL
SeaLegs Wine Bar,Bar,After Security,LAX
Shake Shack,FastFood,3,JFK
Shake Shack,FastFood,Gate B23,JFK
Shake Shack,FastFood,Gate B37,JFK
Shake Shack,FastFood,Concourse A,ATL
SLAPFISH Modern Seafood Shack,Restaurant,After Security,LAX
So Chocolate,Grab & Go,Retail Hall,JFK
SoHo Bistro,Restaurant,Concourse C,JFK
SoHo Bistro,Restaurant,Concourse C,JFK
Soho Bites,Bar,Departures Level,JFK
Soho Bites,Bar,Post Security,JFK
Soy & Sake,Asian,Departures Level,JFK
Soy & Sake,Asian,Post Security,JFK
Starbucks,Coffee,Before Security,LAX
Starbucks,Coffee,Before Security,LAX
Starbucks,Coffee,Before Security,LAX
Starbucks,Coffee,After Security,LAX
Starbucks,Coffee,After Security,LAX
Starbucks,Coffee,After Security,LAX
Starbucks,Coffee,After Security,LAX
Starbucks,Coffee,After Security,LAX
Starbucks,Coffee,Food Court,JFK
Starbucks,Coffee,Gate 22,JFK
Starbucks,Coffee,Near Food Court,JFK
Starbucks,Coffee,Domestic Terminal,ATL
Starbucks,Coffee,Concourse C,ATL
Starbucks,Coffee,Concourse F,ATL
Stella Bar,Bar,After Security,LAX
Subway,FastFood,Concourse T,ATL
Subway,FastFood,Concourse E,ATL
Sweet Auburn Market,Grab & Go,Concourse F,ATL
Sweet Georgia's Juke Joint,Bar,Concourse C,ATL
Sweetwater,Bar,Concourse B,ATL
Taste NY,Restaurant,Post Security,JFK
Terrapin Tap House,Bar,Concourse D,ATL
TGI Fridays,FastFood,Domestic Terminal,ATL
TGI Fridays,FastFood,Concourse T,ATL
TGI Fridays,FastFood,Concourse B,ATL
TGI Fridays,FastFood,Concourse B,ATL
TGI Fridays,FastFood,Concourse E,ATL
The Coffee Bean & Tea Leaf,Coffee,Before Security,LAX
The Coffee Bean & Tea Leaf,Coffee,Before Security,LAX
The Coffee Bean & Tea Leaf,Coffee,Before Security,LAX
The Coffee Bean & Tea Leaf,Coffee,After Security,LAX
The Coffee Bean & Tea Leaf,Coffee,After Security,LAX
The Coffee Bean & Tea Leaf,Coffee,After Security,LAX
The Coffee Bean & Tea Leaf,Coffee,After Security,LAX
The Coffee Bean & Tea Leaf,Coffee,Concourse T,ATL
The Coffee Bean & Tea Leaf,Coffee,Concourse A,ATL
The Coffee Bean & Tea Leaf,Coffee,Concourse D,ATL
The Counter Custom Built Burgers,Bar,After Security,LAX
The Habit Burger Grill,Bar,After Security,LAX
The Kitchen by Wolfgang Puck,Restaurant,After Security,LAX
The LOCAL,Bar,Departures Level- Gate 4,JFK
The LOCAL,Bar,Post Security,JFK
The Palm Bar & Grille,Restaurant,Retail Hall,JFK
The Pecan,Bar,Concourse C,ATL
The Pecan,Bar,Concourse F,ATL
The Piano Bar,Bar,Concourse E,ATL
The Playa Vista,Bar,After Security,LAX
The Wine Bar by Wolfgang Puck,Bar,After Security,LAX
TheMarket,Grab & Go,Concourse C,ATL
TheMarket,Grab & Go,Concourse D,ATL
Tigin's Irish Pub & Restaurant,Restaurant,Gate A7,JFK
Tim Hortons,FastFood,Jamaica Station AirTrain Station,JFK
Treat Me Sweet,Grab & Go,After Security,LAX
True Burger,Restaurant,Near Gate 6,JFK
Tuscany Caf̩,Grab & Go,Departures Level,JFK
Tuscany Caf̩,Grab & Go,Behind Check-in Counters E/F,JFK
Umaizushi,Asian,Concourse C,ATL
Umami Burger,FastFood,After Security,LAX
Uncle Maddio's Pizza,Pizza,Concourse T,ATL
Uptown Brasserie,Restaurant,Gate B32,JFK
Uptown Market,Grab & Go,Departues Level,JFK
Uptown Market,Grab & Go,Post Security,JFK
Urban Crave,Bar,2,JFK
Urban Crave,Bar,Gate B46,JFK
Urth Caffe & Bar,Bar,After Security,LAX
Vanilla Bake Shop,Grab & Go,After Security,LAX
Varsano's pizzeria,Pizza,Concourse A,ATL
Villa Pizza,Pizza,Concourse E,ATL
Vino Volo,Pizza,After Security,LAX
Wahoos Fish Taco,Asian,After Security,LAX
We Juice It,Grab & Go,Domestic Terminal,ATL
Wendy's,FastFood,Concourse B,ATL
Wetzel's / Quench,Bar,After Security,LAX
WhereTraveler Books and More,Grab & Go,Marketplace,JFK
Willy's Mexican Grill,Restaurant,Concourse B,ATL
Wok & Roll,Grab & Go,Food Court,JFK
Wok & Roll,Grab & Go,Pre-Security,JFK
Wolfgang Puck Express,Grab & Go,After Security,LAX
Wolfgang Puck Express,Grab & Go,Concourse D,ATL
Wolfgang Puck Express,Grab & Go,Concourse D,ATL
WPizza by Wolfgang Puck,Pizza,Before Security,LAX
Wpizza by Wolfgang Puck,Pizza,After Security,LAX
